Generation,id,Figure,Pattern,Body-colour,Eye-colour,Nose-colour,Whisker-type,Eye-type,Ear-type,Mouth-type
1,31,Medium,Solid,#ECDB60,#D9C359,#C87978,Long,Staring,Fold,Sticking-out
1,32,Medium,Solid,#ECDB60,#3F8EBF,#34252B,Short,Drooping,Straight,Sticking-out
1,33,Medium,Solid,#A9B9D9,#BF3BB6,#34252B,Long,Drooping,Straight,Open
1,34,Medium,Solid,#A9B9D9,#3F8EBF,#34252B,Short,Slanted,Fold,Sticking-out
1,35,Medium,Solid,#F2C46D,#BF3BB6,#C87978,Long,Slanted,Fold,Close
1,36,Medium,Solid,#F2C46D,#D97789,#34252B,Long,Drooping,Fold,Close
1,37,Medium,Solid,#A1CD73,#D9B60B,#C87978,Long,Staring,Straight,Sticking-out
1,38,Medium,Solid,#A1CD73,#6C733C,#C87978,Short,Slanted,Straight,Close
1,39,Medium,Solid,#427676,#BF3BB6,#C87978,Short,Staring,Straight,Sticking-out
1,40,Medium,Solid,#427676,#D9B60B,#34252B,Long,Round,Straight,Close
1,41,Medium,Solid,#A68A7B,#D9863D,#C87978,Short,Drooping,Fold,Close
1,42,Medium,Solid,#A68A7B,#D97789,#C87978,Short,Staring,Straight,Sticking-out
1,43,Medium,Solid,#BDE3F2,#B0BF3B,#34252B,Long,Staring,Fold,Open
1,44,Medium,Solid,#BDE3F2,#6C733C,#34252B,Short,Open,Straight,Open
1,45,Medium,Solid,#F2AB27,#4E5FBF,#C87978,Long,Open,Straight,Sticking-out
1,46,Medium,Solid,#F2AB27,#4E5FBF,#C87978,Long,Staring,Straight,Sticking-out
1,47,Medium,Solid,#BFAE99,#BF3BB6,#34252B,Long,Drooping,Fold,Close
1,48,Medium,Solid,#BFAE99,#4E5FBF,#34252B,Long,Slanted,Straight,Open
1,49,Medium,Solid,#F2AA6B,#F2CB05,#34252B,Short,Drooping,Straight,Close
1,50,Medium,Solid,#F2AA6B,#41D2F2,#34252B,Short,Drooping,Fold,Sticking-out
1,51,Medium,Solid,#3B596A,#41D2F2,#C0AC49,Short,Drooping,Fold,Sticking-out
1,52,Medium,Solid,#3B596A,#B0BF3B,#C0AC49,Short,Drooping,Fold,Close
1,53,Medium,Solid,#F2DF80,#D97789,#34252B,Short,Round,Straight,Close
1,54,Medium,Solid,#F2DF80,#41D2F2,#34252B,Short,Staring,Straight,Close
1,55,Medium,Solid,#F2507B,#F2CB05,#34252B,Long,Slanted,Straight,Open
1,56,Medium,Solid,#F2507B,#41D2F2,#34252B,Short,Drooping,Straight,Close
1,57,Medium,Solid,#F2C094,#4E5FBF,#34252B,Long,Open,Straight,Close
1,58,Medium,Solid,#F2C094,#F2CB05,#34252B,Short,Drooping,Fold,Sticking-out
1,59,Medium,Solid,#3F9A82,#A3A656,#C87978,Short,Round,Straight,Close
1,60,Medium,Solid,#3F9A82,#BF3BB6,#C87978,Short,Staring,Fold,Sticking-out
1,61,Medium,Solid,#B3D5F2,#3F8EBF,#34252B,Long,Open,Straight,Sticking-out
1,62,Medium,Solid,#B3D5F2,#41D2F2,#34252B,Short,Round,Fold,Open
1,63,Medium,Solid,#A65132,#F2CB05,#C87978,Long,Drooping,Straight,Close
1,64,Medium,Solid,#A65132,#41D2F2,#34252B,Short,Open,Straight,Open
1,65,Medium,Solid,#D96277,#4E5FBF,#34252B,Long,Staring,Fold,Open
1,66,Medium,Solid,#D96277,#D97789,#34252B,Short,Drooping,Straight,Open
1,67,Medium,Solid,#A68549,#6C733C,#34252B,Long,Round,Straight,Open
1,68,Medium,Solid,#A68549,#62D9D9,#34252B,Long,Drooping,Fold,Sticking-out
1,69,Medium,Solid,#F26B5E,#4E5FBF,#34252B,Long,Staring,Fold,Close
1,70,Medium,Solid,#F26B5E,#4E5FBF,#34252B,Short,Drooping,Straight,Open
1,71,Medium,Hachiware,#ECDB60,#4E5FBF,#34252B,Long,Drooping,Fold,Sticking-out
1,72,Medium,Hachiware,#ECDB60,#F2E205,#34252B,Short,Staring,Fold,Sticking-out
1,73,Medium,Hachiware,#A9B9D9,#3F8EBF,#C87978,Long,Round,Fold,Close
1,74,Medium,Hachiware,#A9B9D9,#4E5FBF,#C87978,Short,Open,Straight,Sticking-out
1,75,Medium,Hachiware,#A9B9D9,#F2D4AE,#C87978,Short,Drooping,Straight,Open
1,76,Medium,Hachiware,#A9B9D9,#B0BF3B,#34252B,Short,Slanted,Straight,Close
1,77,Medium,Hachiware,#F2C46D,#4E5FBF,#C87978,Long,Staring,Straight,Close
1,78,Medium,Hachiware,#F2C46D,#A3A656,#C87978,Short,Drooping,Straight,Close
1,79,Medium,Hachiware,#F2C46D,#72A603,#34252B,Long,Open,Straight,Sticking-out
1,80,Medium,Hachiware,#F2C46D,#5CACF2,#34252B,Short,Drooping,Fold,Open
1,81,Medium,Hachiware,#A1CD73,#BF3BB6,#C87978,Long,Open,Fold,Open
1,82,Medium,Hachiware,#A1CD73,#62D9D9,#C87978,Short,Staring,Straight,Open
1,83,Medium,Hachiware,#A1CD73,#D9C359,#C0AC49,Long,Round,Fold,Open
1,84,Medium,Hachiware,#A1CD73,#F2D4AE,#C0AC49,Long,Staring,Straight,Close
1,85,Medium,Hachiware,#427676,#89A621,#C87978,Long,Round,Straight,Open
1,86,Medium,Hachiware,#427676,#41D2F2,#C87978,Short,Staring,Fold,Sticking-out
1,87,Medium,Hachiware,#427676,#D97789,#34252B,Long,Drooping,Straight,Close
1,88,Medium,Hachiware,#427676,#A3A656,#34252B,Long,Staring,Fold,Close
1,89,Medium,Hachiware,#A68A7B,#62D9D9,#C87978,Long,Slanted,Straight,Open
1,90,Medium,Hachiware,#A68A7B,#72A603,#34252B,Long,Staring,Straight,Close
1,91,Medium,Hachiware,#A68A7B,#A3A656,#34252B,Short,Drooping,Fold,Open
1,92,Medium,Hachiware,#A68A7B,#4E5FBF,#34252B,Short,Drooping,Straight,Open
1,93,Medium,Hachiware,#A68A7B,#D9C359,#34252B,Short,Staring,Straight,Sticking-out
1,94,Medium,Hachiware,#F2AB27,#72A603,#C87978,Long,Staring,Straight,Sticking-out
1,95,Medium,Hachiware,#F2AB27,#62D9D9,#C87978,Short,Round,Straight,Close
1,96,Medium,Hachiware,#F2AB27,#41D2F2,#C87978,Short,Drooping,Straight,Close
1,97,Medium,Hachiware,#F2AB27,#5CACF2,#34252B,Short,Open,Fold,Sticking-out
1,98,Medium,Hachiware,#BFAE99,#72A603,#C87978,Short,Open,Straight,Sticking-out
1,99,Medium,Hachiware,#BFAE99,#6C733C,#C87978,Short,Open,Straight,Close
1,100,Medium,Hachiware,#BFAE99,#D97789,#34252B,Short,Slanted,Straight,Close
1,101,Medium,Hachiware,#F2AA6B,#BF3BB6,#C87978,Long,Drooping,Fold,Open
1,102,Medium,Hachiware,#F2AA6B,#F2E205,#C87978,Short,Drooping,Fold,Sticking-out
1,103,Medium,Hachiware,#F2AA6B,#62D9D9,#34252B,Short,Round,Straight,Close
1,104,Medium,Hachiware,#F2AA6B,#62D9D9,#34252B,Short,Slanted,Straight,Close
1,105,Medium,Hachiware,#3B596A,#F2E205,#C0AC49,Long,Slanted,Fold,Open
1,106,Medium,Hachiware,#3B596A,#62D9D9,#C0AC49,Short,Open,Straight,Open
1,107,Medium,Hachiware,#3B596A,#F2D4AE,#C87978,Short,Open,Fold,Close
1,108,Medium,Hachiware,#3B596A,#D97789,#C87978,Short,Slanted,Straight,Close
1,109,Medium,Hachiware,#F2DF80,#89A621,#C87978,Long,Slanted,Fold,Sticking-out
1,110,Medium,Hachiware,#F2DF80,#F2D4AE,#34252B,Long,Open,Fold,Open
1,111,Medium,Hachiware,#F2DF80,#D9B60B,#34252B,Short,Drooping,Straight,Close
1,112,Medium,Hachiware,#F2507B,#D9B60B,#C87978,Long,Open,Fold,Close
1,113,Medium,Hachiware,#F2507B,#5CACF2,#C87978,Long,Round,Straight,Sticking-out
1,114,Medium,Hachiware,#F2507B,#F2D4AE,#34252B,Long,Open,Straight,Close
1,115,Medium,Hachiware,#F2507B,#3F8EBF,#34252B,Long,Staring,Fold,Sticking-out
1,116,Medium,Hachiware,#F2C094,#D9AD2B,#C87978,Long,Drooping,Fold,Close
1,117,Medium,Hachiware,#F2C094,#B0BF3B,#C87978,Long,Drooping,Straight,Close
1,118,Medium,Hachiware,#F2C094,#D9C359,#C87978,Long,Slanted,Fold,Open
1,119,Medium,Hachiware,#F2C094,#BF3BB6,#C87978,Short,Staring,Straight,Close
1,120,Medium,Hachiware,#3F9A82,#A3A656,#C87978,Short,Drooping,Fold,Sticking-out
